"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",3.19148936170213,0,2.00471698113208,0,0,0,0
"2",0,0,0.117924528301887,0,0,0,0
"3",2.3936170212766,0,2.00471698113208,0,0,0,0
"4",4.25531914893617,0,1.88679245283019,0,0,0,0
"5",2.79255319148936,1.6025641025641,1.7688679245283,2.13219616204691,0.798722044728434,2.27272727272727,1.34048257372654
"6",0,0,0,0,0,0,0
"7",2.52659574468085,0,2.59433962264151,0,0,0,0
"8",0,0,0.117924528301887,0,0,0,0
"9",0,0,0,0,0,0,0
"10",2.92553191489362,0,2.59433962264151,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",2.92553191489362,0,1.65094339622642,0,0,0,0
"14",0.132978723404255,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",2.92553191489362,1.6025641025641,2.24056603773585,0,0,0,1.34048257372654
"17",0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0
"19",1.86170212765957,0,1.7688679245283,0,0,0,0
"20",3.45744680851064,3.20512820512821,1.7688679245283,2.13219616204691,2.3961661341853,2.27272727272727,2.68096514745308
"21",0,0,0.117924528301887,0,0,0,0
"22",0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0
"26",3.05851063829787,1.6025641025641,1.65094339622642,3.19829424307036,1.59744408945687,2.27272727272727,1.34048257372654
"27",2.3936170212766,0,2.7122641509434,0,0,0,0
"28",2.79255319148936,0,2.00471698113208,0,0,0,0
"29",2.26063829787234,3.20512820512821,1.88679245283019,1.06609808102345,3.99361022364217,4.54545454545455,2.68096514745308
"30",2.12765957446809,0,2.47641509433962,0,0,0,0
"31",2.52659574468085,0,2.12264150943396,0,0,0,0
"32",0.132978723404255,0,0.117924528301887,0,0,0,0
"33",2.3936170212766,0,2.00471698113208,0,0,0,0
"34",0,0,0.117924528301887,0,0,0,0
"35",0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0
"37",3.72340425531915,0,2.47641509433962,1.06609808102345,0,0,0
"38",3.45744680851064,0,2.12264150943396,0,0,0,0
"39",2.3936170212766,0,1.88679245283019,0,0,0,0
"40",2.3936170212766,4.80769230769231,1.65094339622642,2.13219616204691,2.3961661341853,2.27272727272727,2.68096514745308
"41",2.3936170212766,0,2.12264150943396,0,0,2.27272727272727,1.34048257372654
"42",0,0,0,0,0,0,0
"43",3.19148936170213,0,1.88679245283019,0,0.798722044728434,0,0
"44",2.79255319148936,0,2.47641509433962,0,0,0,0
"45",1.86170212765957,0,2.24056603773585,0,0,0,0
"46",2.79255319148936,0,2.12264150943396,0,0,0,0
"47",0,0,0,0,0,0,0
"48",3.05851063829787,6.41025641025641,1.53301886792453,3.19829424307036,1.59744408945687,2.27272727272727,5.36193029490617
"49",2.12765957446809,0,2.00471698113208,0,0,0,0
"50",2.79255319148936,0,2.35849056603774,0,0,0,0
"51",2.79255319148936,0,2.24056603773585,0,0,0,0
"52",2.26063829787234,0,1.65094339622642,0,0,0,0
"53",2.92553191489362,0,1.41509433962264,0,0,0,0
"54",0,0,0,0,0,0,0
"55",2.65957446808511,0,1.7688679245283,0,0,0,0
"56",2.52659574468085,0,2.24056603773585,0,0,0,0
"57",1.86170212765957,0,2.12264150943396,0,0,0,0
"58",0,0,0,0,0,0,0
"59",1.99468085106383,0,1.29716981132075,1.06609808102345,0.798722044728434,2.27272727272727,0
"60",1.99468085106383,1.6025641025641,1.29716981132075,1.06609808102345,1.59744408945687,0,1.34048257372654
"61",0,0,0.117924528301887,0,0,0,0
"62",3.05851063829787,0,2.35849056603774,0,0,0,0
"63",2.52659574468085,0,2.35849056603774,0,0,0,1.34048257372654
"64",0,0,0.117924528301887,0,0,0,0
"65",0,0,0,0,0,0,0
"66",1.99468085106383,0,2.12264150943396,0,0,0,0
"67",3.05851063829787,0,2.59433962264151,0,0.798722044728434,0,0
"68",1.86170212765957,0,1.53301886792453,0,0,0,0
"69",0,0,0,0,0,0,0
"70",2.26063829787234,0,2.35849056603774,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0.117924528301887,0,0,0,0
"73",2.52659574468085,0,2.59433962264151,0,0,0,0
"74",0,0,0,0,0,0,0
"75",1.86170212765957,0,1.88679245283019,0,0,0,0
"76",2.12765957446809,0,1.65094339622642,0,0,0,0
"77",0,0,0,0,0,0,0
"78",3.45744680851064,0,1.88679245283019,0,0,0,0
"79",0,0,0,0,0,0,0
"80",2.12765957446809,0,1.41509433962264,0,0,0,0
"81",2.79255319148936,0,2.00471698113208,0,0,0,0
"82",2.65957446808511,0,1.06132075471698,0,0,0,0
"83",0,0,0,0,0,0,0
"84",1.99468085106383,0,1.65094339622642,0,0.798722044728434,0,0
"85",0,0,0,0,0,0,0
"86",2.52659574468085,0,2.7122641509434,0,0,0,0
"87",0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0
"91",2.26063829787234,0,2.35849056603774,0,0,0,0
"92",2.79255319148936,0,1.88679245283019,0,0,0,0
"93",1.99468085106383,0,1.7688679245283,0,0,0,0
"94",0,0,0.117924528301887,0,0,0,0
"95",0,0,0,0,0,0,0
"96",2.3936170212766,0,1.65094339622642,0,0,0,0
"97",0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0
"99",3.32446808510638,0,2.47641509433962,1.06609808102345,0,0,0
"100",3.59042553191489,0,1.53301886792453,0,0,2.27272727272727,0
"101",1.59574468085106,0,2.00471698113208,0,0,0,0
"102",0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0
"104",2.65957446808511,3.20512820512821,2.12264150943396,2.13219616204691,3.19488817891374,2.27272727272727,2.68096514745308
"105",0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0
"107",2.65957446808511,1.6025641025641,1.53301886792453,0,0,0,0
"108",3.19148936170213,0,1.88679245283019,0,0,0,0
"109",0.132978723404255,0,0.117924528301887,0,0,0,0
"110",3.32446808510638,0,2.83018867924528,0,0,0,0
"111",0,0,0,0,0,0,0
"112",2.3936170212766,3.20512820512821,1.7688679245283,1.06609808102345,2.3961661341853,2.27272727272727,1.34048257372654
"113",0,0,0,0,0,0,0
"114",2.52659574468085,1.6025641025641,1.53301886792453,2.13219616204691,0.798722044728434,2.27272727272727,1.34048257372654
"115",0,0,0.117924528301887,0,0,0,0
"116",2.92553191489362,0,1.7688679245283,0,0,0,0
"117",1.99468085106383,0,1.65094339622642,0,0.798722044728434,0,0
"118",1.72872340425532,0,1.41509433962264,0,0,0,0
"119",2.12765957446809,0,1.65094339622642,0,0.798722044728434,0,0
"120",0,0,0.117924528301887,0,0,0,0
"121",2.65957446808511,0,2.24056603773585,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0
"126",2.92553191489362,0,2.12264150943396,0,0,0,0
"127",2.52659574468085,0,1.41509433962264,0,0,0,0
"128",0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0
"131",3.05851063829787,0,2.24056603773585,0,0,0,0
"132",0,0,0.117924528301887,0,0,0,0
"133",0,0,0,0,0,0,0
"134",2.79255319148936,0,1.7688679245283,0,0,0,1.34048257372654
"135",1.99468085106383,6.41025641025641,1.88679245283019,4.26439232409382,1.59744408945687,4.54545454545455,2.68096514745308
"136",2.26063829787234,0,2.47641509433962,0,0,0,0
"137",0.398936170212766,0,0.117924528301887,0,0,0,0
"138",3.05851063829787,0,1.65094339622642,0,0,0,0
